Star,JD-2450000,S/N,RV(km/s),RV_error(km/s),Max_ΔRV(km/s),RUWE,AEN,Category
HD167768,8650.81,53,1.622,0.005,0.0014,0.872,0.177,3
,9673.89,61,1.624,0.005,,,,
HD176771,9673.88,61,-10.194,0.004,0.018,1.003,0.161,3
,9737.82,60,-10.212,0.004,,,,
HD188476,8650.83,58,-22.687,0.003,0.0036,0.987,0.108,3
,9737.84,62,-22.690,0.003,,,,
HD189365,8650.84,54,21.509,0.004,0.065,0.96,0.114,3
,9737.84,60,21.574,0.004,,,,
HD192232,9538.52,59,-2.543,0.004,0.031,0.986,0.152,3
,9739.74,53,-2.573,0.003,,,,
HD193937,9538.54,60,-22.422,0.004,0.011,1.354,0.157,3
,9739.81,47,-22.433,0.003,,,,
HD195980,9739.92,38,-32.273,0.003,0.085,1.193,0.17,3
,10140.60,64,-32.188,0.004,,,,
HD203086,9737.85,61,-19.470,0.004,0.011,1.044,0.132,3
,8650.74,61,-19.481,0.003,,,,
HD207920,8650.82,64,9.016,0.003,0.0082,0.937,0.115,3
,9737.90,61,9.008,0.004,,,,
HD209154,8650.78,58,6.350,0.004,0.0065,0.997,0.128,3
,9737.90,59,6.343,0.004,,,,
HD213986,9539.52,62,-1.971,0.003,0.0037,0.914,0.182,3
,9739.91,59,-1.975,0.003,,,,
HD219263,9538.57,65,3.437,0.003,0.0052,1.212,0.321,3
,9739.91,63,3.432,0.003,,,,
HD220096,8650.88,65,16.181,0.008,0.022,0.926,0.306,3
,10140.83,37,16.16,0.01,,,,
HD223700,8650.92,56,-1.780,0.003,0.017,1.13,0.132,3
,9737.92,61,-1.797,0.003,,,,
HD27956,9537.69,58,46.109,0.003,0.014,1.089,0.155,3
,10140.91,36,46.096,0.004,,,,
HD3303,9537.55,59,-9.689,0.003,0.012,0.888,0.152,3
,9739.93,62,-9.677,0.003,,,,
HD745,9537.54,35,-2.089,0.003,0.013,1.05,0.172,3
,10140.83,58,-2.076,0.005,,,,
HD99783,9673.61,61,12.558,0.003,0.0065,0.959,0.12,3
,9737.48,54,12.565,0.004,,,,
BD-025910,10226.55,43,-1.569,0.004,,1.317,0.138,3
BD-07164,10225.78,35,3.900,0.005,,1.323,0.125,3
BD+004462,10225.64,29,-50.72,0.01,,1.329,0.136,3
BD+0431,10224.70,27,13.132,0.007,,1.317,0.129,3
CD-324787,9738.49,35,0.721,0.003,,0.981,0.09,3
HD179120,9737.83,61,-7.142,0.003,,0.995,0.112,3
HD187562,10140.76,43,-2.496,0.006,,0.982,0.068,3
HD194536,10224.52,28,-21.146,0.005,,1.355,0.128,3
HD205588,9737.86,61,5.746,0.003,,1.005,0.122,3
HD217053,10225.73,37,2.578,0.004,,1.317,0.146,3
HD219026,8650.87,56,-2.864,0.003,,1.149,0.155,3
HD219026,9737.93,61,-2.870,0.003,,1.149,0.155,3
HD26120,10225.85,41,19.200,0.004,,1.351,0.161,3
HD40525,10226.72,36,-0.913,0.005,,1.319,0.207,3
HD71464,9673.53,53,39.480,0.005,,1.285,0.145,3
TYC6951-496-1,8650.77,62,5.741,0.003,,1.005,0.122,3
